DVDRef,TapeLength,EffectiveLength,MaleFemaleOverlap,FemaleFeedCount,MaleFeedCount,FemaleFeedTime,FemaleNonFeedTime,MaleFeedTime,MaleNonFeedTime
361,93.69999695,92.19999695,0.800000012,12,10,43.40000153,0.899999976,28.70000076,2
362,88.09999847,87.5,0,2,3,47.09999847,0.200000003,5.699999809,0.699999988
363,93.19999695,92.19999695,0,6,1,40.79999924,0.200000003,2.400000095,0.300000012
365,93.69999695,92.40000153,0.400000006,6,5,43.79999924,,39.29999924,1.399999976
367,93.69999695,91.90000153,1,14,9,54.20000076,1.200000048,21,1.700000048
368,93.69999695,86.09999847,0,23,24,13,0.400000006,4.699999809,1.100000024
369,79,78.69999695,10.60000038,14,12,33.90000153,1,28.70000076,4.5
370,93.69999695,86.5,0.100000001,6,8,46.5,0.699999988,29.10000038,0.600000024
371,93.59999847,92.40000153,0.300000012,4,5,57.5,2.200000048,33.90000153,2.099999905
372,93.69999695,90,0,16,4,11.10000038,0.600000024,2.099999905,0.800000012
375,93.69999695,88.5,0.5,16,14,35.40000153,0.5,8.399999619,1.100000024
379,93.59999847,92.59999847,1.600000024,14,21,53.29999924,0.400000006,4.5,1
381,93.59999847,85.09999847,0,12,1,58.59999847,11.19999981,0.899999976,15.89999962
382,85.09999847,85.09999847,0.800000012,9,14,28.29999924,1,20.89999962,1.100000024
383,93.59999847,93.59999847,0.400000006,10,16,31.10000038,0.100000001,23.60000038,2
384,93.80000305,92.09999847,0,7,4,61.70000076,1.899999976,10.10000038,1.700000048
388,93.69999695,78,0,17,29,3,0.5,4.599999905,1
390,93.69999695,93,1.100000024,16,23,25.79999924,0.800000012,6,1
391,93.69999695,91.19999695,0.899999976,20,12,13,6.800000191,50.29999924,5.599999905
394,93.59999847,91,4.099999905,7,20,59.59999847,,18.79999924,2.799999952
396,93.69999695,92.09999847,0,29,16,26.79999924,0.699999988,13.39999962,0.899999976
402,60,55.5,0.800000012,3,8,14.39999962,,33.29999924,0.400000006
403,93.80000305,91.30000305,0,16,14,13.60000038,0.200000003,8.199999809,1.299999952
405,93.59999847,91.80000305,0,4,10,20.70000076,0.800000012,49.29999924,3.400000095
406,93.80000305,91.09999847,0.600000024,4,9,17.20000076,1.799999952,52.20000076,1.899999976
407,93.80000305,81.19999695,0.400000006,11,7,9.800000191,1,32,0.5
411,93.69999695,92.69999695,0.200000003,11,13,22.10000038,1.600000024,41.70000076,2.099999905
413,91,88,1.5,33,23,46.5,3,9.800000191,1.100000024
414,93.59999847,91.19999695,0.100000001,6,9,35.09999847,0.300000012,32.79999924,0.899999976
415,93.80000305,92.40000153,0.300000012,9,17,19.39999962,3.200000048,10.5,6.300000191
417,93.59999847,91.80000305,0.600000024,6,9,39.59999847,0.100000001,40.70000076,1.799999952
420,93.80000305,92.09999847,1.299999952,10,9,66.30000305,0.800000012,23.20000076,3.5
422,93.69999695,86.30000305,0,9,5,54.90000153,0.899999976,24.20000076,5.699999809
423,93.59999847,90.5,0.600000024,6,9,35.79999924,0.800000012,41.90000153,1.700000048
424,93.69999695,88.40000153,0.300000012,16,18,15,3.900000095,21.79999924,0.300000012
426,93.69999695,92,0,19,16,53.79999924,1.5,11.10000038,4
427,93.80000305,93.80000305,0.899999976,31,22,24.79999924,0.800000012,16.29999924,3
428,93.69999695,90,0,13,12,27.29999924,12.80000019,30.29999924,7.400000095
429,93.59999847,92.5,0.100000001,6,4,45.5,1.399999976,34.29999924,4.300000191
431,93.80000305,89.59999847,0.200000003,5,5,59.90000153,1.700000048,18.29999924,5.199999809
432,93.69999695,90.19999695,0,5,1,73,0.5,0.5,0.699999988
433,93.69999695,88.90000153,1.100000024,10,12,22.29999924,0.5,21.29999924,0.800000012
434,93.69999695,92.5,0.100000001,28,24,14.80000019,2.700000048,25.5,9.899999619
435,93.69999695,93.69999695,0,12,12,33.09999847,0.5,33.70000076,0.400000006
436,93.80000305,92.30000305,0.400000006,9,16,40,0.600000024,40.20000076,4.900000095
437,93.5,90.80000305,0,4,5,31.5,0.800000012,43.09999847,0.800000012
438,93.69999695,90.69999695,0,8,9,35.40000153,0.300000012,26.29999924,0.600000024
440,93.69999695,87.90000153,3.200000048,5,19,31.20000076,0.100000001,42.20000076,2.400000095
442,93.59999847,91.59999847,0,8,,75.09999847,,,
443,93.69999695,91.40000153,2.099999905,15,7,67.80000305,3.299999952,15.19999981,2.5
446,93.59999847,84.19999695,0,11,28,1.600000024,1.399999976,4,0.699999988
447,93.69999695,92,0.200000003,10,12,50.29999924,1.100000024,25,1.100000024
449,93.59999847,88.09999847,0.100000001,15,9,36.79999924,1.799999952,20.39999962,5.599999905
450,93.69999695,93.09999847,1.200000048,21,25,29,2.799999952,15.10000038,2.599999905
451,93.80000305,88.59999847,3.099999905,3,15,64.09999847,1,16.10000038,14.19999981
452,93.80000305,89.09999847,0,31,26,5.300000191,2.700000048,7.699999809,14.5
453,93.59999847,83.59999847,0.200000003,9,6,28.70000076,5.099999905,29.60000038,2.099999905
454,93.69999695,90.59999847,0.400000006,29,17,34.5,0.5,21.29999924,0.5
456,93.59999847,91.09999847,0.200000003,12,12,17.89999962,1.100000024,48.79999924,6.5
458,93.69999695,90.80000305,0.5,9,23,14.80000019,0.800000012,12.39999962,2.900000095
459,93.69999695,89.59999847,0.100000001,10,4,48.59999847,1.100000024,4.900000095,1.299999952
462,93.59999847,92.30000305,0,11,2,47.29999924,4.5,2.900000095,0.300000012
463,93.69999695,88.90000153,2.299999952,7,14,28.20000076,0.400000006,54.90000153,1
464,93.80000305,89.30000305,0,14,2,20.5,0.699999988,1.200000048,0.100000001
465,93.69999695,86.90000153,0,18,10,15.80000019,3.099999905,3.900000095,4.5
466,93.80000305,92.40000153,0.200000003,7,10,38.20000076,0.300000012,42.70000076,3.599999905
467,93.80000305,89.59999847,0.300000012,4,3,44.40000153,0.5,44.90000153,2.400000095
469,93.80000305,85.69999695,0.200000003,10,11,40.29999924,1.299999952,26.10000038,1.100000024
470,93.59999847,92,0,13,7,30.20000076,2.200000048,2.299999952,0.5
471,93.59999847,88,1,5,13,35.59999847,1.600000024,21.5,17.70000076
473,93.80000305,90.69999695,0.300000012,8,7,20.70000076,1.700000048,40.20000076,0.899999976
475,93.59999847,71.59999847,0,3,,8.399999619,0.300000012,,
476,93.59999847,82.40000153,0,5,2,44.90000153,1.700000048,3.299999952,1.799999952
477,93.80000305,65.69999695,0,4,13,0.5,0.400000006,3.200000048,15.19999981
478,93.69999695,87.09999847,3.599999905,14,13,35.29999924,0.200000003,39.29999924,2
479,79.09999847,79.09999847,0,5,9,40.09999847,0.5,23.89999962,1.200000048
480,93.59999847,93.59999847,1,7,8,52.29999924,0.300000012,21.60000038,0.800000012
481,93.80000305,87.40000153,0.5,9,8,33.40000153,0.800000012,25.10000038,1
483,93.59999847,91.09999847,0.100000001,12,13,20.5,1.299999952,25.60000038,0.400000006
487,93.69999695,87.30000305,0,12,17,38.59999847,0.300000012,21,0.600000024
492,91,89.59999847,0.5,18,15,35.5,5.699999809,8.899999619,2.400000095
495,93.80000305,92,1.700000048,11,15,52.29999924,0.200000003,3.599999905,1.299999952
496,93.59999847,88.80000305,0.200000003,7,21,22.10000038,1.100000024,24.10000038,2.400000095
499,89,89,0,11,9,4.900000095,0.699999988,8.399999619,0.699999988
