Frame,Clock,x,y,h,w,label,score,Events,Sex,Note
51964,0:34:38,524,222,334,261,Positive,0.6456635,Around,MF,
51965,0:34:38,587,124,387,354,Positive,0.95305496,Around,MF,
51966,0:34:38,626,98,316,175,Positive,0.97633207,Around,MF,
51967,0:34:38,651,87,295,392,Positive,0.9798753,Around,MF,
51968,0:34:38,783,78,268,358,Positive,0.99991894,Around,MF,
51968,0:34:38,667,93,249,312,Positive,0.9999999,Around,MF,
51969,0:34:38,671,50,428,417,Positive,0.999747,Around,MF,
51970,0:34:38,656,0,495,444,Positive,0.9999999,Around,MF,
51971,0:34:38,682,42,557,482,Positive,0.9999976,Around,MF,
51972,0:34:38,684,121,578,561,Positive,0.9776919,Around,MF,
51974,0:34:38,883,214,501,397,Positive,0.6191178,Around,MF,
51979,0:34:39,838,390,145,145,Negative,0.9999982,Around,F,Feed from outside
51979,0:34:39,1033,243,148,105,Negative,0.6639387,Around,F,
52041,0:34:41,794,271,243,192,Positive,0.65123636,Around,F,
52073,0:34:42,753,130,407,295,Positive,0.90909827,Around,F,
52075,0:34:43,648,146,445,540,Positive,0.74880546,Around,F,
52076,0:34:43,645,213,356,355,Negative,0.5397821,Around,F,
52077,0:34:43,661,142,359,436,Positive,0.9688729,Around,F,
52079,0:34:43,791,413,99,155,Positive,0.5840486,Around,F,
52173,0:34:46,862,210,260,120,Positive,0.7369808,Around,F,
52174,0:34:46,652,157,357,500,Positive,0.98655605,Around,F,
52175,0:34:47,708,175,370,461,Positive,0.98549867,Around,F,
52176,0:34:47,689,129,380,402,Positive,0.9327487,Around,F,
52177,0:34:47,728,75,424,237,Positive,0.858632,Around,F,
52178,0:34:47,837,127,72,224,Negative,0.7069413,Around,F,
52230,0:34:49,935,228,187,74,Negative,0.5389736,Around,F,
52235,0:34:49,905,117,205,131,Negative,0.56322575,Around,F,
52236,0:34:49,741,51,504,348,Positive,1,Around,F,
52237,0:34:49,690,51,459,443,Positive,0.9929507,Around,F,
52238,0:34:49,660,87,633,519,Positive,0.9796108,Around,F,
